date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2019-09-29,2019,0,0,BUF,NE,1448.42368150679,1640.85648810958,0.3244135139667689,,,
2019-09-29,2019,0,0,NYG,WSH,1442.7255357616,1441.02179176339,0.5948320963104572,,,
2019-09-29,2019,0,0,HOU,CAR,1515.38853097227,1519.37877240763,0.5869086428543352,,,
2019-09-29,2019,0,0,ATL,TEN,1520.31582461035,1518.90720352913,0.5944225925162965,,,
2019-09-29,2019,0,0,MIA,LAC,1415.17876187059,1585.75191800581,0.3525776598332378,,,
2019-09-29,2019,0,0,IND,OAK,1561.07456529967,1405.44061778861,0.7807549181950778,,,
2019-09-29,2019,0,0,LAR,TB,1598.01566621671,1444.77266859125,0.778389841083807,,,
2019-09-29,2019,0,0,ARI,SEA,1383.74042223536,1565.41164859357,0.3381356304752939,,,
2019-09-29,2019,0,0,CHI,MIN,1588.89793144843,1538.42395425995,0.6603202418393134,,,
2019-09-29,2019,0,0,DEN,JAX,1449.16419458668,1455.24907275187,0.5839822602794328,,,
2019-09-29,2019,0,0,NO,DAL,1610.93660317005,1546.63760540507,0.6779364928637496,,,
2019-09-30,2019,0,0,PIT,CIN,1572.19321967273,1428.5335151433,0.7687278433840506,,,
2019-10-03,2019,0,0,SEA,LAR,1565.41164859357,1598.01566621671,0.5464869208692613,,,
2019-10-06,2019,1,0,OAK,CHI,1405.44061778861,1588.89793144843,0.25806211995554856,,,
2019-10-06,2019,0,0,CIN,ARI,1428.5335151433,1383.74042223536,0.6529473153286939,,,
2019-10-06,2019,0,0,HOU,ATL,1515.38853097227,1520.31582461035,0.5856002484264071,,,
2019-10-06,2019,0,0,CAR,JAX,1519.37877240763,1455.24907275187,0.6777236722857739,,,
2019-10-06,2019,0,0,NYG,MIN,1442.7255357616,1538.42395425995,0.455936033779552,,,
2019-10-06,2019,0,0,PHI,NYJ,1581.51355925233,1384.96644235941,0.8184061651390806,,,
2019-10-06,2019,0,0,PIT,BAL,1572.19321967273,1570.53924891259,0.5947630416778618,,,
2019-10-06,2019,0,0,NO,TB,1610.93660317005,1444.77266859125,0.7909541795815028,,,
2019-10-06,2019,0,0,TEN,BUF,1518.90720352913,1448.42368150679,0.68565982110879,,,
2019-10-06,2019,0,0,WSH,NE,1441.02179176339,1640.85648810958,0.3151457299518344,,,
2019-10-06,2019,0,0,LAC,DEN,1585.75191800581,1449.16419458668,0.7614112420878159,,,
2019-10-06,2019,0,0,DAL,GB,1546.63760540507,1455.13136993533,0.7111390011179525,,,
2019-10-06,2019,0,0,KC,IND,1602.07742712331,1561.07456529967,0.6479867709731724,,,
2019-10-07,2019,0,0,SF,CLE,1422.63182461207,1455.88640137805,0.5455586233793825,,,
2019-10-10,2019,0,0,NE,NYG,1640.85648810958,1442.7255357616,0.8197572225989459,,,
2019-10-13,2019,1,0,TB,CAR,1444.77266859125,1519.37877240763,0.3942535530328966,,,
2019-10-13,2019,0,0,CLE,SEA,1455.88640137805,1565.41164859357,0.4362715173132634,,,
2019-10-13,2019,0,0,BAL,CIN,1570.53924891259,1428.5335151433,0.7670308162300598,,,
2019-10-13,2019,0,0,MIA,WSH,1415.17876187059,1441.02179176339,0.5561140253373363,,,
2019-10-13,2019,0,0,JAX,NO,1455.24907275187,1610.93660317005,0.37237548008356275,,,
2019-10-13,2019,0,0,KC,HOU,1602.07742712331,1515.38853097227,0.7054093438895236,,,
2019-10-13,2019,0,0,MIN,PHI,1538.42395425995,1581.51355925233,0.5314898594481386,,,
2019-10-13,2019,0,0,ARI,ATL,1383.74042223536,1520.31582461035,0.398427589734389,,,
2019-10-13,2019,0,0,LAR,SF,1598.01566621671,1422.63182461207,0.7995942941626819,,,
2019-10-13,2019,0,0,NYJ,DAL,1384.96644235941,1546.63760540507,0.36436139611746066,,,
2019-10-13,2019,0,0,DEN,TEN,1449.16419458668,1518.90720352913,0.49317468543544113,,,
2019-10-13,2019,0,0,LAC,PIT,1585.75191800581,1572.19321967273,0.6111669811185225,,,
2019-10-14,2019,0,0,GB,DET,1455.13136993533,1490.51940926969,0.542512148390783,,,
2019-10-17,2019,0,0,DEN,KC,1449.16419458668,1602.07742712331,0.3761154369308156,,,
2019-10-20,2019,0,0,ATL,LAR,1520.31582461035,1598.01566621671,0.4817315943549212,,,
2019-10-20,2019,0,0,IND,HOU,1561.07456529967,1515.38853097227,0.6541112000330539,,,
2019-10-20,2019,0,0,CIN,JAX,1428.5335151433,1455.24907275187,0.5548738253963531,,,
2019-10-20,2019,0,0,BUF,MIA,1448.42368150679,1415.17876187059,0.6377341614092535,,,
2019-10-20,2019,0,0,DET,MIN,1490.51940926969,1538.42395425995,0.5245825017174952,,,
2019-10-20,2019,0,0,NYG,ARI,1442.7255357616,1383.74042223536,0.6712216699978149,,,
2019-10-20,2019,0,0,GB,OAK,1455.13136993533,1405.44061778861,0.6593082434191979,,,
2019-10-20,2019,0,0,WSH,SF,1441.02179176339,1422.63182461207,0.6177552511810077,,,
2019-10-20,2019,0,0,TEN,LAC,1518.90720352913,1585.75191800581,0.49734526741216006,,,
2019-10-20,2019,0,0,CHI,NO,1588.89793144843,1610.93660317005,0.5615131289783316,,,
2019-10-20,2019,0,0,SEA,BAL,1565.41164859357,1570.53924891259,0.5853204052700416,,,
2019-10-20,2019,0,0,DAL,PHI,1546.63760540507,1581.51355925233,0.5432436789332038,,,
2019-10-21,2019,0,0,NYJ,NE,1384.96644235941,1640.85648810958,0.24995516286303032,,,
2019-10-24,2019,0,0,MIN,WSH,1538.42395425995,1441.02179176339,0.7180606371927658,,,
2019-10-27,2019,0,0,TEN,TB,1518.90720352913,1444.77266859125,0.6901718349349306,,,
2019-10-27,2019,0,0,NO,ARI,1610.93660317005,1383.74042223536,0.8431713545860556,,,
2019-10-27,2019,1,0,LAR,CIN,1598.01566621671,1428.5335151433,0.72623780465653,,,
2019-10-27,2019,0,0,DET,NYG,1490.51940926969,1442.7255357616,0.656851288541295,,,
2019-10-27,2019,0,0,JAX,NYJ,1455.24907275187,1384.96644235941,0.6854105227943946,,,
2019-10-27,2019,0,0,HOU,OAK,1515.38853097227,1405.44061778861,0.7324485357221187,,,
2019-10-27,2019,0,0,BUF,PHI,1448.42368150679,1581.51355925233,0.40324631930780697,,,
2019-10-27,2019,0,0,ATL,SEA,1520.31582461035,1565.41164859357,0.5286131158745944,,,
2019-10-27,2019,0,0,CHI,LAC,1588.89793144843,1585.75191800581,0.5968314389915818,,,
2019-10-27,2019,0,0,SF,CAR,1422.63182461207,1519.37877240763,0.4544392008165963,,,
2019-10-27,2019,0,0,IND,DEN,1561.07456529967,1449.16419458668,0.7346565245602485,,,
2019-10-27,2019,0,0,NE,CLE,1640.85648810958,1455.88640137805,0.8082909912626838,,,
2019-10-27,2019,0,0,KC,GB,1602.07742712331,1455.13136993533,0.7720740341421034,,,
2019-10-28,2019,0,0,PIT,MIA,1572.19321967273,1415.17876187059,0.7821121991980562,,,
2019-10-31,2019,0,0,ARI,SF,1383.74042223536,1422.63182461207,0.5375027261193523,,,
2019-11-03,2019,1,0,JAX,HOU,1455.24907275187,1515.38853097227,0.41430650658338847,,,
2019-11-03,2019,0,0,PIT,IND,1572.19321967273,1561.07456529967,0.6078238925863396,,,
2019-11-03,2019,0,0,BUF,WSH,1448.42368150679,1441.02179176339,0.6027121838651239,,,
2019-11-03,2019,0,0,MIA,NYJ,1415.17876187059,1384.96644235941,0.6336914536967452,,,
2019-11-03,2019,0,0,KC,MIN,1602.07742712331,1538.42395425995,0.6771246238264974,,,
2019-11-03,2019,0,0,PHI,CHI,1581.51355925233,1588.89793144843,0.5821637641270083,,,
2019-11-03,2019,0,0,CAR,TEN,1519.37877240763,1518.90720352913,0.5931214983021044,,,
2019-11-03,2019,0,0,SEA,TB,1565.41164859357,1444.77266859125,0.744335125891933,,,
2019-11-03,2019,0,0,OAK,DET,1405.44061778861,1490.51940926969,0.47113642243784065,,,
2019-11-03,2019,0,0,DEN,CLE,1449.16419458668,1455.88640137805,0.5830906727777785,,,
2019-11-03,2019,0,0,LAC,GB,1585.75191800581,1455.13136993533,0.7551151944835064,,,
